gold_label	null	null	null	null	sentence1	sentence2	promptID	pairID	genre	label1	null	null	null	null
neutral					In 1812 about 1500 tons of cargo was moved through Rome by this route.	 In 1812 about 1500 tons of cargo was moved through Rome by this route for 5th time.	base_34495171.000	base_34495171.000n	wikipedia	neutral				
entailment					Unlike previous Bowie bands (such as the Spiders from Mars), Tin Machine acted as a democratic unit.	Tin Machine acted as a democratic unit.	base_11506498.001	base_11506498.001e	wikipedia	entailment				
entailment					The term brake van began to be adopted from the 1870s onwards, when bespoke designed vehicles had a specific hut added to house the guard away from the weather.	When bespoke designed vehicles had a specific hut added to house the guard away from the weather, the term brake van began to be adopted.	base_56242006.001	base_56242006.001e	wikipedia	entailment				
contradiction					Some of Capability Brown's signature cedars of Lebanon still surround the house today.	None of Capability Brown's signature cedars of Lebanon still surround the house today.	base_24554673.002	base_24554673.002c	wikipedia	contradiction				
contradiction					At age 17, Hodgson was drafted by the New South Wales Waratahs as a flyhalf/centre and was redeveloped as a loose forward.	The position of flyhalf was Hodgson's calling for all of his career.	base_37851202.001	base_37851202.001c	wikipedia	contradiction				
neutral					"There were many days when I had to force myself to go to the studio… I really wanted to live another life."""	I was unhappy sometimes.	base_01379725.004	base_01379725.004n	wikipedia	neutral				
entailment					As her fame spread, her husband is portrayed to have been jealous of the attention Bahinabai received.	Her husband is portrayed to have been jealous of the attention Bahinabai received.	base_32490478.002	base_32490478.002e	wikipedia	entailment				
neutral					Vijayanagara (Karnata Empire, or Karnataka Empire) is considered the greatest medieval Hindu empire and one of the greatest in the world at that time.	Vijayanagara draws a lot of attention from historians.	base_17231590.000	base_17231590.000n	wikipedia	neutral				
entailment					She ran for a second time in 2018, and gained support from several political parties, organizations, and associations.	In her second run, many organizations and political parties expressed their support.	base_46638719.000	base_46638719.000e	wikipedia	entailment				
entailment					Bluetooth and USB had conference programming and associated exhibition floor pavilions to help these technologies and start up companies be seen in such a large event and marketplace.	Bluetooth had an exhibition floor pavilions to assist these technologies. 	base_05332829.004	base_05332829.004e	wikipedia	entailment				
contradiction					I was accused of not paying the loan on my house.	I pay my loans on time promptly and no one has said otherwise.	base_32311258.005	base_32311258.005c	wikipedia	contradiction				
entailment					Mitchell did not return to military duty, but devoted himself to literature, passing a considerable portion of each year on the continent up to 1848, after which he spent the remainder of his life with his sisters in Edinburgh.	Mitchell went on to devote himself to literature, not returning to military duty. 	base_60110707.000	base_60110707.000e	wikipedia	entailment				
contradiction					The music for Dharma Durai (2016) is composed by Yuvan Shankar Raja.	Dharma Durai does not have music.	base_53638788.000	base_53638788.000c	wikipedia	contradiction				
