gold_label	null	null	null	null	sentence1	sentence2	promptID	pairID	genre	label1	null	null	null	null
entailment					A cradle is a move where the attacker performs the cradle by grabbing the neck of his opponent with one arm, and wrapping the elbow of the other arm behind the knee of the opponent.	The attacker should grab the neck of the opponent with one arm and wrap an elbow behind the knee. 	contrast_26723660.000	contrast_26723660.000e	wikipedia	entailment				
entailment					The Kettle Lake Bog Garden is partially enclosed by curved brick walls with built-in benches.	It has built-in benches.	contrast_25545950.001	contrast_25545950.001e	wikipedia	entailment				
entailment					This project was followed by a biography he authored in 1962 on Michael Ramsey, the 100th Archbishop of Canterbury, which was listed among the 200 best books of that year.	It was followed by a biography in the 1960's.	contrast_42543843.001	contrast_42543843.001e	wikipedia	entailment				
contradiction					Benke was born on May 5, 1946 in Milwaukee, Wisconsin as the first child of Raymond and Dorothea Benke.	Benke was the second child born in 1905 to Raymond Benke. 	contrast_21913154.000	contrast_21913154.000c	wikipedia	contradiction				
entailment					"The ""New York Post"" said that Diaco created the ""worst rivalry in sports history."""	He created the worst rivalry in sports history.	contrast_52450321.004	contrast_52450321.004e	wikipedia	entailment				
entailment					The first of United's last two games was at home to West Ham United at midday on Saturday, 3 May. Needing the win, United got off to a great start, as Ronaldo put them ahead in the third minute with a deflected shot.	They started the match off really well.	contrast_25790505.000	contrast_25790505.000e	wikipedia	entailment				
entailment					In 1992, the voters of the state approved a measure which amended Article X of the Colorado Constitution that restricts revenues for all levels of government (state, local, and schools).	Voters approved the amended Article X. 	contrast_07639805.000	contrast_07639805.000e	wikipedia	entailment				
contradiction					It was released on VHS in both PAL and NTSC formats.	It has only been released in the NTSC format. 	contrast_34198671.001	contrast_34198671.001c	wikipedia	contradiction				
entailment					Leading up to the French Open, Khachanov's record for the year was ten wins and twelve losses and he had failed to reach a single tournament semifinal.	Khachanov's record loss for the year was twelve.	contrast_50264827.001	contrast_50264827.001e	wikipedia	entailment				
contradiction					Youngs batted .356 in the 1923 World Series, which the Giants lost to the Yankees.	The Giants won against the Yankees.	contrast_07327978.006	contrast_07327978.006c	wikipedia	contradiction				
contradiction					In time as the plates are subducted, the transform fault will decrease in length until the transform fault disappears completely, leaving only two subduction zones facing in opposite directions.	The transform fault will increase in length until the transform fault disappears completely.	contrast_03062335.002	contrast_03062335.002c	wikipedia	contradiction				
entailment					They are shiny and sticky due to the presence of resin and sparsely to densely hairy with the resin sometimes obscuring the hairs.	There's a presence of resin.	contrast_24873203.002	contrast_24873203.002e	wikipedia	entailment				
contradiction					Foster played two years at Pearl River Community College during 2009 and 2010.	In 2009, Foster stopped playing at the Pearl River Community College. 	contrast_51814993.000	contrast_51814993.000c	wikipedia	contradiction				
entailment					The album was preceded by four months by the EP .	The EP was released before the album	contrast_37386347.000	contrast_37386347.000e	wikipedia	entailment				
entailment					These instructions sharpened the practice until then condoned by the Permanent Commission for Language Control, a joint commission set up by the law to control the correct application of the language laws in Belgium.	The law's application is controled by the Permanent Commision for Language Control	contrast_06419739.001	contrast_06419739.001e	wikipedia	entailment				
contradiction					Although there have been a few endeavors such as Portugal Fashion, in Porto, and Moda Lisboa, in the capital, the general public still fails to see the excellence in fashion as an art form, when they really should.	 They are concentrated in Lisbon.	contrast_41829051.001	contrast_41829051.001c	wikipedia	contradiction				
contradiction					Fitting a turbocharger into the Mustang proved impractical, and Allison was forced to use the only supercharger available.	The supercharger was fitted into a Camaro 	contrast_31245921.004	contrast_31245921.004c	wikipedia	contradiction				
contradiction					The hidden reference should be rated with 100 MUSHRA points so this is obviously a mistake.	They did not earn any points. 	contrast_19004172.001	contrast_19004172.001c	wikipedia	contradiction				
