gold_label	null	null	null	null	sentence1	sentence2	promptID	pairID	genre	label1	null	null	null	null
contradiction					She is surprised there by Albert.	She knew Albert was there.	edit_premise_24281558.002	edit_premise_24281558.002c	wikipedia	contradiction				
contradiction					Hayward's first Test match for England came on tour with Lord Hawke's side against South Africa at Port Elizabeth in 1895/96, and in his second Test (at Johannesburg) he hit 122 as England recorded an innings victory.	Hayward's first Test match for England came on tour with Lord Hawke's side against South Africa at Port Elizabeth in 1895/96, and in his second Test (at Johannesburg) he hit 162 as England recorded an innings victory.	edit_premise_12100970.000	edit_premise_12100970.000c	wikipedia	contradiction				
contradiction					Charles Lamb and his wife came to the area from Vermont in 1839 to become the first white settlers.	The first white settlers of the area were Charles Lamb and his son.	edit_premise_02181819.000	edit_premise_02181819.000c	wikipedia	contradiction				
neutral					WCPT broadcasts at 5,800 watts in the daytime.	From 8:00 am to 5:00 pm, WCPT transmits at 5,800 watts.	edit_premise_11036563.002	edit_premise_11036563.002n	wikipedia	neutral				
contradiction					In Week 17, to close out another dominant year, the Legion of Boom dismantled the high-powered Arizona Cardinals offense in a 36–6 win.	The Arizona Cardinals defense was dismantled by the Legion of Boom which closed out another dominant year with a win of 30-12.	edit_premise_48702845.003	edit_premise_48702845.003c	wikipedia	contradiction				
contradiction					Formerly a board member of the Charleston Trust (1995-2010) and Gate Theatre (1993-2012), he was appointed to the boards of the Cambridge Arts Theatre and Shadwell Opera in 2016.	He served as a Gate Theatre board member for 15 years	edit_premise_37012360.000	edit_premise_37012360.000c	wikipedia	contradiction				
neutral					She returned to Britain on 20 May 1823 with 500 casks of oil.	She returned to Britain on the morning of 20 May 1823 with 500 casks of oil.	edit_premise_51642635.002	edit_premise_51642635.002n	wikipedia	neutral				
contradiction					Misha was used extensively during the opening and closing ceremonies, had a TV animated cartoon and appeared on several merchandise products.	Misha was hardly used during the ceremonies, had a TV animated cartoon that was removed from several merchandise products.	edit_premise_06909108.002	edit_premise_06909108.002c	wikipedia	contradiction				
entailment					"Pyotr Stepanovich visits Kirillov to remind him of an ""agreement"" he made to commit suicide at a time convenient to the revolutionary society."	"Pyotr Stepanovich sees Kirillov to remind him of an ""agreement"" he made to commit suicide at a time convenient to the revolutionary society."	edit_premise_07173140.000	edit_premise_07173140.000e	wikipedia	entailment				
contradiction					Shane then, he opened his own wrestling school, Capital City Pro Wrestling.	Capital City Pro Wrestling is the name of the judo academy. 	edit_premise_11105120.000	edit_premise_11105120.000c	wikipedia	contradiction				
entailment					Actors Will Smith and Jada Pinkett Smith hosted the event for the first time.	The event was hosted by Will Smith and Jada Pinkett Smith.	edit_premise_44871435.002	edit_premise_44871435.002e	wikipedia	entailment				
contradiction					It was previously known as 'Holmes College of Management' or simply 'Holmes College' with its International and Australian head office in Spring street, Melbourne.	It was previously known as 'Holmes College of Management' or simply 'Holmes College' with its International and New Zealand head office in Spring street, Melbourne.	edit_premise_37972765.001	edit_premise_37972765.001c	wikipedia	contradiction				
